Id,Host,Module,CheckName,Severity,RiskScore,Description,Evidence,Remediation
"6898f19c","inlanefreight.local","AdAuditor","DCSYNC_ACE","Critical",9.0,"Principal 'S-1-5-9' has DCSync-capable replication rights on the domain root. This enables offline extraction of all password hashes without touching a DC.","Principal=S-1-5-9; RightGUID=1131f6aa-9c07-11d1-f79f-00c04fc2dcd2; AccessType=Allow","Remove DS-Replication-Get-Changes-All ACEs from all non-DC principals. Use repadmin /showattr to enumerate delegated replication rights."
"506e31ee","SRV01","ProtocolProbe","SMB_SIGNING_DISABLED","Critical",9.0,"SMB signing is not required on 'SRV01'. SMB relay attacks (NTLM relay) are possible, enabling code execution without credentials.","RequireSecuritySignature=0; EnableSecuritySignature=0","Set RequireSecuritySignature=1 via GPO: Computer Configuration -> Windows Settings -> Security Settings -> Local Policies -> Security Options -> Microsoft network server: Digitally sign communications (always)."
"293cdd8a","SRV02","ProtocolProbe","SMB_SIGNING_DISABLED","Critical",9.0,"SMB signing is not required on 'SRV02'. SMB relay attacks (NTLM relay) are possible, enabling code execution without credentials.","RequireSecuritySignature=0; EnableSecuritySignature=0","Set RequireSecuritySignature=1 via GPO: Computer Configuration -> Windows Settings -> Security Settings -> Local Policies -> Security Options -> Microsoft network server: Digitally sign communications (always)."
"dc988e0d","SRV01","ShareAuditor","ADMIN_SHARE_OVERPERMISSIVE","Critical",9.0,"Administrative share ADMIN$ on 'SRV01' grants write access to 'BUILTIN\Users'. Admin shares should be restricted to Administrators and SYSTEM only.","Share=ADMIN$; Principal=BUILTIN\Users; Rights=ReadAndExecute, Synchronize","Restrict ADMIN$ access to Administrators and SYSTEM only. If admin shares are not required, disable via registry: AutoShareServer=0 or AutoShareWks=0."
"fb4dc677","SRV02","ShareAuditor","ADMIN_SHARE_OVERPERMISSIVE","Critical",9.0,"Administrative share ADMIN$ on 'SRV02' grants write access to 'BUILTIN\Users'. Admin shares should be restricted to Administrators and SYSTEM only.","Share=ADMIN$; Principal=BUILTIN\Users; Rights=ReadAndExecute, Synchronize","Restrict ADMIN$ access to Administrators and SYSTEM only. If admin shares are not required, disable via registry: AutoShareServer=0 or AutoShareWks=0."
"aba30028","inlanefreight.local","ShareAuditor","SYSVOL_WRITE_PERMISSION","Critical",9.0,"SYSVOL grants write access to 'NT AUTHORITY\Authenticated Users'. Writable SYSVOL allows planting of malicious scripts or GPO template files that execute on all domain-joined machines during policy refresh.","Path=\\inlanefreight.local\SYSVOL; Principal=NT AUTHORITY\Authenticated Users; Rights=ReadAndExecute, Synchronize","SYSVOL should only be writable by Domain Admins, SYSTEM, and CREATOR OWNER. Remove any broader write permissions immediately. Enable FRS/DFSR monitoring for unauthorized changes."
"6a5d3b2d","inlanefreight.local","AdAuditor","KERBEROASTABLE_SPN","High",7.0,"Account 'DC01$' has SPNs and is susceptible to Kerberoasting.","SamAccountName=DC01$; SPNs=Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/DC01.inlanefreight.local; ldap/DC01.inlanefreight.local/ForestDnsZones.inlanefreight.local; ldap/DC01.inlanefreight.local/DomainDnsZones.inlanefreight.local; TERMSRV/DC01; TERMSRV/DC01.inlanefreight.local; DNS/DC01.inlanefreight.local; GC/DC01.inlanefreight.local/inlanefreight.local; RestrictedKrbHost/DC01.inlanefreight.local; RestrictedKrbHost/DC01; RPC/e6169757-7de0-4e6e-a69b-e75a70ab6b3a._msdcs.inlanefreight.local; HOST/DC01/INLANEFREIGHT; HOST/DC01.inlanefreight.local/INLANEFREIGHT; HOST/DC01; HOST/DC01.inlanefreight.local; HOST/DC01.inlanefreight.local/inlanefreight.local; E3514235-4B06-11D1-AB04-00C04FC2DCD2/e6169757-7de0-4e6e-a69b-e75a70ab6b3a/inlanefreight.local; ldap/DC01/INLANEFREIGHT; ldap/e6169757-7de0-4e6e-a69b-e75a70ab6b3a._msdcs.inlanefreight.local; ldap/DC01.inlanefreight.local/INLANEFREIGHT; ldap/DC01; ldap/DC01.inlanefreight.local; ldap/DC01.inlanefreight.local/inlanefreight.local; AdminCount=0","Use Group Managed Service Accounts (gMSA). If a standard account is required, use a 127+ character random password and audit SPN registrations."
"fa200bc3","SRV01","ProtocolProbe","RDP_NLA_DISABLED","High",7.0,"RDP Network Level Authentication is disabled on 'SRV01'. The login screen is exposed before authentication, enabling bruteforce attacks.","HKLM\SYSTEM\CurrentControlSet\Control\Terminal Server\WinStations\RDP-Tcp\UserAuthentication=0","Set UserAuthentication=1 via GPO: Computer Configuration -> Administrative Templates -> Windows Components -> Remote Desktop Services -> Require NLA."
"bac7b816","SRV02","ProtocolProbe","RDP_NLA_DISABLED","High",7.0,"RDP Network Level Authentication is disabled on 'SRV02'. The login screen is exposed before authentication, enabling bruteforce attacks.","HKLM\SYSTEM\CurrentControlSet\Control\Terminal Server\WinStations\RDP-Tcp\UserAuthentication=0","Set UserAuthentication=1 via GPO: Computer Configuration -> Administrative Templates -> Windows Components -> Remote Desktop Services -> Require NLA."
"255df3e6","SRV01","LateralPathAnalyzer","DOMAIN_GROUP_LOCAL_ADMIN","High",7.0,"Domain group 'PDQ Deploy Admin' is in the local Administrators group on 'SRV01'. All members of this group inherit local admin rights.","LocalGroup=Administrators; Member=PDQ Deploy Admin; Type=Group","Remove broad domain groups from local Administrators. Use LAPS for local admin password management. Use PAW model with dedicated per-tier admin accounts."
"e8509307","SRV01","LateralPathAnalyzer","LAPS_NOT_DEPLOYED","High",7.0,"LAPS (Local Administrator Password Solution) does not appear to be deployed on 'SRV01'. Without LAPS, all hosts built from the same image share the same local admin password. One compromised host yields local admin on all peers.","LAPS registry key absent on SRV01","Deploy Microsoft LAPS or Windows LAPS (built-in on Windows Server 2019+ and Windows 11). Configure 30-day maximum password age. Restrict ms-Mcs-AdmPwd read access to delegated admin groups only."
"ed4a06fe","SRV02","LateralPathAnalyzer","DOMAIN_GROUP_LOCAL_ADMIN","High",7.0,"Domain group 'PDQ Deploy Admin' is in the local Administrators group on 'SRV02'. All members of this group inherit local admin rights.","LocalGroup=Administrators; Member=PDQ Deploy Admin; Type=Group","Remove broad domain groups from local Administrators. Use LAPS for local admin password management. Use PAW model with dedicated per-tier admin accounts."
"fb2e842e","SRV02","LateralPathAnalyzer","LAPS_NOT_DEPLOYED","High",7.0,"LAPS (Local Administrator Password Solution) does not appear to be deployed on 'SRV02'. Without LAPS, all hosts built from the same image share the same local admin password. One compromised host yields local admin on all peers.","LAPS registry key absent on SRV02","Deploy Microsoft LAPS or Windows LAPS (built-in on Windows Server 2019+ and Windows 11). Configure 30-day maximum password age. Restrict ms-Mcs-AdmPwd read access to delegated admin groups only."
"2edea49f","SRV01","SegmentationChecker","WINDOWS_FIREWALL_DISABLED","High",7.0,"Windows Firewall 'Domain' profile is DISABLED on 'SRV01'. Host-based firewall is a critical defense-in-depth layer.","Profile=Domain; EnableFirewall=0; Key=HKLM\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile\EnableFirewall","Re-enable Windows Firewall for all profiles via GPO. Never disable host firewall -- use explicit inbound rules instead."
"951236dd","SRV02","SegmentationChecker","WINDOWS_FIREWALL_DISABLED","High",7.0,"Windows Firewall 'Domain' profile is DISABLED on 'SRV02'. Host-based firewall is a critical defense-in-depth layer.","Profile=Domain; EnableFirewall=0; Key=HKLM\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile\EnableFirewall","Re-enable Windows Firewall for all profiles via GPO. Never disable host firewall -- use explicit inbound rules instead."
"ae7f0042","inlanefreight.local","AdAuditor","MISSING_PROTECTED_USERS","Medium",5.0,"Privileged account 'Administrator' (member of 'Domain Admins') is not in Protected Users. TGT lifetime is unrestricted and NTLM/Digest auth is not blocked.","SamAccountName=Administrator; Group=Domain Admins; Enabled=True","Add all tier-0 and tier-1 privileged accounts to Protected Users. Test compatibility -- Protected Users blocks NTLM, DES, RC4, and unconstrained delegation."
"11954928","SRV01","ProtocolProbe","WINRM_NO_HTTPS","Medium",5.0,"WinRM HTTPS (port 5986) is not listening on 'SRV01'. If WinRM is in use, traffic relies on Kerberos message encryption only.","Port 5985 open=True; Port 5986 open=False","Configure a WinRM HTTPS listener with a machine certificate. Disable the HTTP listener where not required."
"4a8209c2","SRV01","ProtocolProbe","RDP_WEAK_ENCRYPTION","Medium",5.0,"RDP minimum encryption level is 2 on 'SRV01'. Values below 3 use weak RC4.","MinEncryptionLevel=2 (safe minimum: 3)","Set MinEncryptionLevel=3 or use SecurityLayer=2 (TLS) via GPO: RDS -> Session Host -> Security -> Set client connection encryption level."
"6740a99b","SRV01","ProtocolProbe","DCOM_DEFAULT_ACCESS_PERMISSION","Medium",5.0,"DCOM DefaultAccessPermission is absent on 'SRV01'. The default grants Everyone call access to all COM servers.","HKLM\SOFTWARE\Microsoft\Ole\DefaultAccessPermission: key absent","Set explicit DefaultAccessPermission restricting to local Administrators via dcomcnfg or SCM hardening."
"7d9a7fa2","SRV02","ProtocolProbe","WINRM_NO_HTTPS","Medium",5.0,"WinRM HTTPS (port 5986) is not listening on 'SRV02'. If WinRM is in use, traffic relies on Kerberos message encryption only.","Port 5985 open=True; Port 5986 open=False","Configure a WinRM HTTPS listener with a machine certificate. Disable the HTTP listener where not required."
"0667dafc","SRV02","ProtocolProbe","RDP_WEAK_ENCRYPTION","Medium",5.0,"RDP minimum encryption level is 2 on 'SRV02'. Values below 3 use weak RC4.","MinEncryptionLevel=2 (safe minimum: 3)","Set MinEncryptionLevel=3 or use SecurityLayer=2 (TLS) via GPO: RDS -> Session Host -> Security -> Set client connection encryption level."
"084162ef","SRV01","LateralPathAnalyzer","BROAD_RDP_ACCESS","Medium",5.0,"The Remote Desktop Users group on 'SRV01' contains 2 domain account(s)/group(s). In a Zero Trust model, RDP access should be limited to specific admin accounts via JIT.","RemoteDesktopUsers members: Helen; Crismerlin","Remove broad domain groups from Remote Desktop Users. Implement JIT RDP access via PIM or a PAM solution. Route all RDP through a jump server -- no direct RDP from user workstations."
"0dd0e989","SRV02","LateralPathAnalyzer","BROAD_RDP_ACCESS","Medium",5.0,"The Remote Desktop Users group on 'SRV02' contains 1 domain account(s)/group(s). In a Zero Trust model, RDP access should be limited to specific admin accounts via JIT.","RemoteDesktopUsers members: Remote Desktop Group","Remove broad domain groups from Remote Desktop Users. Implement JIT RDP access via PIM or a PAM solution. Route all RDP through a jump server -- no direct RDP from user workstations."
"97c6c956","inlanefreight.local","LateralPathAnalyzer","LOCAL_ADMIN_OVERLAP","Medium",5.0,"Account 'Domain Admins' has local Administrator rights on 2 hosts. Compromise of this single account enables lateral movement to all of them.","Account=Domain Admins; Hosts=SRV01, SRV02","Implement LAPS to ensure unique local admin passwords per host. Remove shared admin accounts. Use tiered administration: accounts used on tier-1 servers must not have local admin on tier-2 workstations."
"99075eb2","SRV01","SegmentationChecker","FIREWALL_LOGGING_DISABLED","Medium",5.0,"Windows Firewall 'Domain' profile on 'SRV01' does not log dropped packets. Lateral movement attempts and port scans are invisible to the SOC.","Profile=Domain; LogDroppedPackets=0","Enable firewall drop logging via GPO or Set-NetFirewallProfile. Forward logs to SIEM via Windows Event Forwarding. Set log file size to at least 32768 KB."
"fc1a49c5","SRV01","SegmentationChecker","WEF_NOT_CONFIGURED","Medium",5.0,"Windows Event Forwarding (WEF) is not configured on 'SRV01'. Without centralised log collection, attackers can clear local logs and destroy forensic evidence.","HKLM\SOFTWARE\Policies\Microsoft\Windows\EventLog\EventForwarding\SubscriptionManager: absent","Deploy WEF via GPO: configure a Windows Event Collector and push subscription config to all endpoints. Forward Security, System, and Sysmon events to your SIEM. Alternatively deploy a SIEM agent (Splunk UF, Elastic Agent, Sentinel MMA)."
"b52cf88b","SRV02","SegmentationChecker","FIREWALL_LOGGING_DISABLED","Medium",5.0,"Windows Firewall 'Domain' profile on 'SRV02' does not log dropped packets. Lateral movement attempts and port scans are invisible to the SOC.","Profile=Domain; LogDroppedPackets=0","Enable firewall drop logging via GPO or Set-NetFirewallProfile. Forward logs to SIEM via Windows Event Forwarding. Set log file size to at least 32768 KB."
"ec73c366","SRV02","SegmentationChecker","WEF_NOT_CONFIGURED","Medium",5.0,"Windows Event Forwarding (WEF) is not configured on 'SRV02'. Without centralised log collection, attackers can clear local logs and destroy forensic evidence.","HKLM\SOFTWARE\Policies\Microsoft\Windows\EventLog\EventForwarding\SubscriptionManager: absent","Deploy WEF via GPO: configure a Windows Event Collector and push subscription config to all endpoints. Forward Security, System, and Sysmon events to your SIEM. Alternatively deploy a SIEM agent (Splunk UF, Elastic Agent, Sentinel MMA)."
"5d1d17a9","SRV02","SegmentationChecker","SECURITY_LOG_TOO_SMALL","Low",3.0,"Security event log on 'SRV02' is only 20MB. A small log rotates quickly, potentially losing evidence of brute-force or pass-the-hash activity.","SecurityLogMaxSize=20MB (recommended minimum: 1024MB for servers)","Set Security log maximum size to at least 1 GB via GPO: Computer Configuration -> Windows Settings -> Security Settings -> Event Log -> Maximum security log size. Set log full behavior to archive rather than overwrite."
